,stemmed_tokens
249,"['kirim', 'jaksel', 'pakai', 'gojek', 'aman', 'gan']"
250,"['pc', 'rakit', 'rakitin', 'sana', 'fullset', 'pcnya']"
251,"['makan', 'gta', 'online', 'kuat']"
252,"['pc', 'fullset', '16gb', 'monitor']"
253,"['pes', '2021']"
254,"['cod', 'min']"
255,"['ssd', 'req', '520', 'gb']"
256,"['ram', '8gb', 'kuat', 'makan', 'gta', 'kak']"
257,"['genshin', 'medium', '60fps', 'stabil', 'kah', 'gan']"
258,"['valorant', 'fps']"
259,"['halo', 'makan', 'minecraft']"
260,"['photoshop', 'corel', 'draw', 'lancar']"
261,"['live', 'streaming', 'game', 'kuat', 'bos']"
262,"['digunain', 'nox', 'player', 'lancar', 'gan']"
263,"['readry', 'gan', 'pc', 'gaming', 'ram', '16', 'gb']"
264,"['pasang', 'hdd', '1t', 'tidak', 'pakai', 'ssd hybrid']"
265,"['makan', 'point', 'blank', 'grafik', 'high', 'kak']"
266,"['harga', 'pcnya', 'kak', '18', 'juta', '4', 'juta', 'pc', 'makan', 'ffgak', 'grafik', 'tinggi']"
267,"['pakai', 'main', 'game', 'berat']"
268,"['gan', 'produk', 'pc', 'gaming', 'banyak', 'intel', 'pc', 'gaming', 'pakai', 'amd', 'gan']"
269,"['beda', 'pc', 'fullset', '16gb', 'fullset', '16gb', '22in']"
270,"['game', 'city', 'skylines', 'grafik', 'tinggi', 'lancar']"
271,"['bang', 'makan', 'cyberpunk']"
272,"['game', 'vr', 'bang']"
273,"['ta', 'ta']"
274,"['gamenya', 'gratis', 'bayar', 'bang']"
275,"['barang', 'min']"
276,"['kak', 'game', 'pilih', 'pcnya']"
277,"['makan', 'dota', '2', 'lancar', 'grafik', 'tinggi']"
278,"['makan', 'gta', 'online']"
279,"['grab', 'bekas', 'kak', 'kabel', 'vga']"
280,"['fullset', '16', '24', 'rp7200000']"
281,"['alamat', 'toko', 'mana', 'gan', 'ngerakit']"
282,"['16gb24in', 'makan', 'valo', 'ghensin', 'ricord', 'min']"
283,"['wifii', 'kan', 'gan', 'mesti', 'upgrade']"
284,"['min', 'internal', '2tb', 'game', 'isi', 'wifilink', 'plus', 'bluetooth']"
285,"['misi', 'packingan', 'cuz', 'layar', 'pc', 'sensitif']"
286,"['record', 'mlbb', 'pubg', 'kuat', 'kah', 'gan']"
287,"['toko', 'app', 'sho']"
288,"['livestream', 'bang']"
289,"['bang', 'live', 'streaming', 'efootball', '2022']"
290,"['ghensin', 'impact', 'valorant', 'full', 'size', 'kakak']"
291,"['kuat', 'pakai', 'edit', 'kak']"
292,"['game', 'kak', 'ngedit', 'kuat']"
293,"['kak', 'beli', 'pc', 'fullset', '16gb', 'monitor keyboard', 'komputer', 'lengkap']"
294,"['min', 'makan', 'game', 'roblox', 'grafik', 'rata', 'kanan', 'no', 'livestream', 'kuat', 'min']"
295,"['kak', 'nanya', 'transfer bayar', 'pakai', 'bank', 'bri', 'kak']"
296,"['ready', 'toko', 'mana']"
297,"['kak', 'nanya', 'makan', 'roblox', 'rata', 'kanan', 'record', 'lancar', 'aplikasi', 'editing', 'bayar', 'adobe', 'installnya', 'crack', 'asli']"
298,"['makan', 'genshin', 'impact', 'high', '60fps']"
299,"['makan', 'valorant', 'fps', 'om']"
300,"['produk', 'garansi', 'jamin', 'crash', 'iya', 'motherboard', 'perangkat', 'lain', 'sound', 'card', 'vga', 'dll']"
301,"['the', 'elder', 'scroll', 'high', 'kuat', 'gan']"
302,"['game', 'pes', '2021', 'settingan']"
303,"['stream', 'game', 'berat', 'kuat', 'gan']"
304,"['makan', 'minecraft', 'kuat', 'bang']"
305,"['moga', 'beli', 'barang', 'nabung', 'wkwkkwk']"
306,"['request', 'game', 'minecraft']"
307,"['the', 'sims', '4', 'lancar']"
308,"['cod', 'min']"
309,"['diupgrade', 'ssd', '256', 'hdd', '1tb']"
310,"['makan', 'pb', 'record', 'lancar']"
311,"['makan', 'fortnite', 'apex', 'legend', 'record', 'kuat', 'gan']"
312,"['record', 'game', '', 'live', 'streaming', 'game', 'pc']"
313,"['beda', 'pc', '16gb', 'akesories', '16gb', 'fullset', '16gb24in', 'mana', 'gan', 'aksesoris']"
314,"['gen', 'min']"
315,"['pakai', 'monitor', '24', 'inc', 'kak']"
316,"['dota2', 'kuat', 'kak']"
317,"['live', 'streaming', 'game']"
318,"['valorant', 'ting', 'medium', 'gta', '5', 'ting', 'medium']"
319,"['bikin', 'windows', '7']"
320,"['live', 'stream', 'kuat', 'kak']"
321,"['perlu', 'editing', 'video', 'premiere', 'after', 'effect', 'min']"
322,['vga']
323,"['gan', '', 'apex', 'order', 'instal', 'gamenya']"
324,"['makan', 'fortnite', 'fps']"
325,"['barang', 'jual', 'toko', 'rusak', 'diclaim', 'tuduh', 'barang', 'dijauhin', 'beli', 'payah', 'kecewa', 'berat', 'kapok', 'beli', 'toko']"
326,"['min', 'makan', 'gta', 'roleplay']"
327,"['min', 'makan', 'valorant', 'ting', 'rata', 'kanan', 'fps', 'min']"
328,"['makan', 'genshin', 'impact', 'settingan', 'medium', 'fps', 'gan', 'stabil', 'kah']"
329,"['makan', 'monster', 'hunter', 'world', 'fps', 'dapat']"
330,"['genshin', 'impact', 'fps', 'min']"
331,"['i7', 'gen', '1']"
332,"['harga', 'kah', 'min', 'ram', '8', '16']"
333,"['monitor', '24', 'tambah', 'gan']"
334,"['pc', 'gaming', '', 'monitor', 'full', 'set', '8', 'gb', 'ready']"
335,"['motogp', '2021', 'gan']"
336,"['kak', 'full', 'set', 'kak', 'kayak', '1', 'monitor', '2', 'cpu', '3keyboard', '4mouse', '5mouse', 'pad']"
337,"['ngerendering', 'cepat', 'gan', 'rakit', 'lokasi']"
338,"['compatible', 'fs2020', 'gan']"
339,"['min', 'ets2']"
340,"['gan', 'pc', 'aksesorisx', 'gan']"
341,"['min', 'gaming', 'dota', '2']"
342,"['min', 'bikin', 'pc', 'monitor']"
343,"['min', 'paket', 'pc monitor']"
344,"['kalok', 'beli', 'peking', 'kayu', 'min']"
345,"['kak', 'makan', 'game', 'fifa', '2024', '', 'football', 'life', '2023', 'speknya', 'iya', 'terima', 'kasih']"
346,"['ready', 'kak', 'kirim']"
347,"['buka', 'blender', 'min', 'valo', 'fps']"
348,"['pubg', 'kuat']"
349,"['kak', 'power', 'supply', 'bawa', 'garansi', 'kak']"
350,"['hhd', '500gb', 'diupgrade ganti', '1tb']"
351,"['gta', 'online', 'kuat']"
352,"['kak', 'pc', 'rakit', 'kak']"
353,"['min', 'editing', 'video', 'design', 'grafis', 'lancar']"
354,"['games', 'lifeafter', 'rekomendnya', 'type']"
355,"['min', 'vga', 'hd', 'makan', 'valorant']"
356,"['v16', '', 'gt1030', 'fps', 'kak', 'makan', 'valorant', '', 'gta']"
357,"['kak', 'support', 'hotspot', 'hp']"
358,"['kak', 'v0', 'vesta', '8giga', 'grapic', 'intel', 'hd', 'onboard', 'desain', 'grafis']"
359,"['vga', 'support', 'monitor']"
360,"['free', 'game']"
361,"['geforce', '370', 'diupgrade']"
362,"['ssd ram hdd', 'custom ganit', 'harga', 'tambah', 'beda']"
363,"['vs', 'vesta', '8', 'otu', 'mobo', 'size', 'gan']"
364,"['game', 'roh', 'ethernal', 'vengeance', 'ambil', 'varian', '16', 'gb', 'lot', 'kak']"
365,"['kak', 'vs', 'vesta', '8gb', 'aman', 'game', 'anak', 'anak', 'pubg', 'ml', 'freefire']"
366,"['kak', 'makan', 'valo', 'medium', 'standar', 'fps']"
367,"['install', 'game', '3']"
368,['hi']
369,"['kak', 'makan', 'csgo', 'valorant', 'ambil', 'variant']"
